answers_reputation,answers_vote,link
"116,383,843","10,6,3",https://stackoverflow.com/questions/28749209/do-cython-extension-types-support-class-attributes
"14317,44578,415","3,3,1",https://stackoverflow.com/questions/35731305/do-json-libraries-agree-on-whats-the-double-precision-value-of-5000-1
"9068,15938,263,754","11,6,3,1",https://stackoverflow.com/questions/1406917/compressing-with-java-decompressing-with-php
"16271,707,1362,136,30556,32195","12,4,4,2,2,2",https://stackoverflow.com/questions/30112285/create-dynamic-json-from-foreach
"14153,71475","7,4",https://stackoverflow.com/questions/58250341/what-happens-if-undefined-c-behaviour-meets-c-defined-behaviour
4943,8,https://stackoverflow.com/questions/60333494/this-paymentmethod-was-previously-used-without-being-attached-to-a-customer-or-w
619,9,https://stackoverflow.com/questions/54876346/pybind11-and-stdvector-how-to-free-data-using-capsules
"338,95","9,6",https://stackoverflow.com/questions/60032983/record-voice-with-recorder-js-and-upload-it-to-python-flask-server-but-wav-file
"71,6662","5,0",https://stackoverflow.com/questions/22491921/how-to-use-a-python-list-to-assign-a-stdvector-in-c-using-swig
,,https://stackoverflow.com/questions/56756867/iactivescriptparse32parsescripttext-memory-leak
"4625,98767,31","19,3,3",https://stackoverflow.com/questions/19325761/python-executing-shell-script-with-argumentsvariable-but-argument-is-not-rea
4029,5,https://stackoverflow.com/questions/10903750/access-javascript-array-elements-from-c-sharp-via-webbrowser
"408,11140","7,6",https://stackoverflow.com/questions/50579572/export-a-variable-from-bash-and-use-it-in-python
"926583,99704","10,5",https://stackoverflow.com/questions/10801258/read-argument-with-spaces-in-python-script-from-a-shell-script
745713,11,https://stackoverflow.com/questions/9506437/python-subprocess-call-returns-command-not-found-terminal-executes-correctly
"579827,3087,141030,40039,1935,895,1010","8,5,1,0,0,0,0",https://stackoverflow.com/questions/6354358/c-dll-returned-string-is-corrupted-in-the-c-sharp-caller-why
"1340,15964,21","27,8,2",https://stackoverflow.com/questions/3730840/how-to-create-and-initialize-safearray-of-doubles-in-c-to-pass-to-c-sharp
"1,3907","1,0",https://stackoverflow.com/questions/8238328/how-to-know-whether-it-is-a-memory-leak-or-not-when-calling-native-code-in-java
"19696,59857","8,1",https://stackoverflow.com/questions/22105529/np-ascontiguousarray-versus-np-asarray-with-cython
"5456,978802,9236","18,16,3",https://stackoverflow.com/questions/9745139/building-relative-urls-for-an-mvc-app-with-javascript
969,3,https://stackoverflow.com/questions/33377764/error-using-callback-in-python
174,1,https://stackoverflow.com/questions/915790/memory-leak-using-jni-to-retrieve-strings-value-from-java-code
57193,4,https://stackoverflow.com/questions/18421111/how-to-expose-nullable-types-via-com
2792,9,https://stackoverflow.com/questions/33789011/bokeh-implementing-custom-javascript-in-an-image-plot
1305,9,https://stackoverflow.com/questions/32221090/org-springframework-web-bind-missingservletrequestparameterexception-required
206097,16,https://stackoverflow.com/questions/24139389/unable-to-find-out-what-return-code-of-11-means
"3496,23","1,0",https://stackoverflow.com/questions/34517668/zend-how-to-correctly-destruct-a-custom-object-in-php-7
1484,4,https://stackoverflow.com/questions/2032470/python-ctypes-callback-function-to-swig
"1,4965,18168","3,3,1",https://stackoverflow.com/questions/16517355/how-to-send-by-socket-c-compatible-struct-from-java
"531094,689269,2074,17188,427,169","13,7,1,1,1,0",https://stackoverflow.com/questions/1533916/how-to-set-up-a-c-function-so-that-it-can-be-used-by-p-invoke
"42053,41713,4945,360,28591","3,2,2,2,1",https://stackoverflow.com/questions/4324819/pass-data-between-java-and-c
2471,1,https://stackoverflow.com/questions/52090826/passing-opencv-mat-from-c-to-python
1017,7,https://stackoverflow.com/questions/10109700/embedding-matplotlib-in-c
"32061,10372","18,0",https://stackoverflow.com/questions/10930789/insert-backbone-js-model-into-mysql-database
"10677,15304,24113,4394,31564,21","24,17,10,2,2,2",https://stackoverflow.com/questions/16932113/passing-multiple-php-variables-to-shell-exec
5200,2,https://stackoverflow.com/questions/6780077/system-outofmemoryexception-when-getting-string-array-from-c-on-c-sharp
"622156,524","3,2",https://stackoverflow.com/questions/39154055/how-to-pass-char-in-struct-from-c-sharp-to-c
10012,4,https://stackoverflow.com/questions/35444656/thrift-java-client-cannot-handle-union-properly
"161,681,36104,142","13,4,3,0",https://stackoverflow.com/questions/18647841/retrieve-exit-status-from-php-script-inside-of-shell-script
"2214,25114,7250,1922","5,4,3,2",https://stackoverflow.com/questions/37453671/can-i-run-a-sql-query-in-frontend-javascript
"20705,2788,1264,1861,1970,11","22,8,8,4,1,0",https://stackoverflow.com/questions/11141336/filestorage-for-opencv-python-api
"141030,361","6,0",https://stackoverflow.com/questions/42506296/converting-python-dictionary-to-ctypes-structure
"326620,413,128692","9,9,0",https://stackoverflow.com/questions/43933897/set-environment-variables-by-file-using-python
"24113,69,3708,155","12,6,1,1",https://stackoverflow.com/questions/17048140/convert-multidimensional-php-array-to-javascript-array
226741,7,https://stackoverflow.com/questions/6089214/how-do-i-marshal-wchar-t-from-c-to-c-sharp-as-an-out-parameter-or-return-valu
"361196,87819,8451,121,1934","19,8,0,0,0",https://stackoverflow.com/questions/17244488/reading-struct-in-python-from-created-struct-in-c
"1,32459","11,8",https://stackoverflow.com/questions/2228275/java-generics-and-jni
8077,6,https://stackoverflow.com/questions/25379340/nashorn-java-collections-how-to-implement-equals-and-hashcode-in-pure-javascri
63722,3,https://stackoverflow.com/questions/21477881/use-javascript-to-update-a-json-file
"139,303,1","2,0,0",https://stackoverflow.com/questions/8688400/using-managed-threads-and-fibers-in-clr
"190793,3774,14552,80","11,6,0,0",https://stackoverflow.com/questions/15787748/evaluating-javascript-using-a-java-code
"381,0","3,2",https://stackoverflow.com/questions/18088977/creating-a-byte-in-c-and-returning-it-to-java-using-jni
"86504,11,106","0,0,1",https://stackoverflow.com/questions/51065913/outlook-refuses-password-from-cryptprotectdata
"1696,923","2,1",https://stackoverflow.com/questions/14124695/seg-fault-in-php-extension
"579827,48611,2074","3,1,0",https://stackoverflow.com/questions/5368720/c-sharp-calling-native-c-all-functions-what-types-to-use
"1474,4280","4,3",https://stackoverflow.com/questions/31334390/c-sharp-property-value-doesnt-get-modified-within-javascript-jquery
2650,6,https://stackoverflow.com/questions/5236690/float-from-c-to-c-sharp
4610,1,https://stackoverflow.com/questions/45108666/sessions-in-angularjs-and-php-application
"6777,3340","0,0",https://stackoverflow.com/questions/13654561/marshalling-an-array-of-strings-from-managed-to-native-code
"2708,1182","5,3",https://stackoverflow.com/questions/6866464/com-safearray-of-guids-returned-from-c-to-c-sharp
"5834,354,2082","41,4,2",https://stackoverflow.com/questions/17309745/how-to-join-a-group-using-signalr
"26987,2509","3,1",https://stackoverflow.com/questions/11582914/mvc-model-binding-a-string-array-from-jquery-post
14379,0,https://stackoverflow.com/questions/32462222/how-to-catch-assertioncaused-in-c-during-runtime-in-python
"69221,551","8,0",https://stackoverflow.com/questions/30357115/pyarray-simplenewfromdata-example
61,6,https://stackoverflow.com/questions/31295122/boost-python-multiple-return-arguments
12968,16,https://stackoverflow.com/questions/10314645/jni-multi-threads
3183,4,https://stackoverflow.com/questions/10524365/interop-causes-unity-to-crash
"4148,1021,3600","10,2,0",https://stackoverflow.com/questions/20419415/c-sharp-call-c-dll-passing-pointer-to-pointer-argument
83598,10,https://stackoverflow.com/questions/10596052/stdvector-to-java-util-vector-code-generation-with-swig
"16047,14589","36,4",https://stackoverflow.com/questions/13419676/assigning-the-model-to-a-javascript-variable-in-razor
"579827,40039","5,5",https://stackoverflow.com/questions/7309838/improper-marshaling-c-sharp-array-to-a-c-unmanaged-array
"149208,24084,1656","86,51,3",https://stackoverflow.com/questions/30024948/flask-download-a-csv-file-on-clicking-a-button
"12922,1163","14,1",https://stackoverflow.com/questions/30191582/how-can-i-change-text-of-legend-in-c3-pie-chart
"1615,1490,722,146,11,4174","10,8,4,2,1,1",https://stackoverflow.com/questions/19561877/is-it-possible-to-set-localstorage-or-session-variable-in-asp-net-page-and-read
"2634,699","31,16",https://stackoverflow.com/questions/18545034/how-do-i-convert-my-entire-div-data-into-image-and-save-it-into-directory-withou
"1080,331","54,2",https://stackoverflow.com/questions/29987323/how-do-i-send-data-from-js-to-python-with-flask
135274,7,https://stackoverflow.com/questions/3333182/speeding-up-ajax-requests-can-gzip-compression-be-applied
"58893,9492,76,1,142012","5,1,0,0,0",https://stackoverflow.com/questions/3024893/ajax-chat-only-update-if-theres-a-change
"13837,5427,2374,314,1062","3,2,2,1,0",https://stackoverflow.com/questions/23366570/store-client-server-string-filtering-directives-for-realtime-use
812,3,https://stackoverflow.com/questions/32551607/c-and-cython-seeking-a-design-pattern-that-avoids-template-limitations
"152350,31,92885,2344","8,3,2,0",https://stackoverflow.com/questions/5964269/asn-1-encoding-decoding
707,0,https://stackoverflow.com/questions/39209581/what-is-the-right-way-to-call-dynamic-content-currently-using-ajax-inside-a-ca
1382,16,https://stackoverflow.com/questions/7700446/java-app-calls-c-dll-via-jni-how-best-to-allocate-memory
"12823,13527,16982,344957,28416,43589,4970","4,4,3,1,1,1,0",https://stackoverflow.com/questions/6064990/is-mysql-database-access-speed-limited-primarily-by-the-db-or-by-the-language-u
555,2,https://stackoverflow.com/questions/30214271/php-js-progress-bar
"8724,10818,3731,128,1090,1100","17,1,1,1,0,5",https://stackoverflow.com/questions/19661580/minify-css-and-js-in-codeigniter-efficiently
"652874,3268","7,0",https://stackoverflow.com/questions/14269798/java-jni-calls-are-slower-than-expected-at-least-2-ms-call
"849,22217,14564,4073,31976,613,64956,31","22,13,7,7,6,6,3,3",https://stackoverflow.com/questions/2848359/how-to-write-javascript-in-asp-net-in-code-behind-using-c-sharp
12935,3,https://stackoverflow.com/questions/46888778/autocomplete-textbox-using-php
"8291,684,203,826,2073,131,71,11028,3373,41,5548,130,425,29,351,582","106,32,20,16,8,8,7,6,5,3,2,1,1,0,0,0",https://stackoverflow.com/questions/1917576/how-do-i-pass-javascript-variables-to-php
"4094,1935,5597,421,748,208","11,6,5,5,3,2",https://stackoverflow.com/questions/43827637/how-to-use-ajax-and-json-for-making-dropdown-menu
"1706,31238,1068,306","2,1,1,2",https://stackoverflow.com/questions/34383278/calling-javascript-from-java-method
"391,75,17949,1148,9583,1995,31500","37,7,3,2,1,0,5",https://stackoverflow.com/questions/18441194/how-to-call-a-c-sharp-function-from-javascript
"12174,532,1","3,0,2",https://stackoverflow.com/questions/54018008/how-to-pass-content-in-tinymces-textarea-to-a-php-file-directly-instead-of-send
"4139,988,24,49843,131","3,1,0,0,0",https://stackoverflow.com/questions/65189028/how-to-change-server-side-language-cookies-like-client-side-using-ajax
"35132,407,2510,462","2,1,0,0",https://stackoverflow.com/questions/56385013/how-to-show-entire-text-in-a-modal-on-click-of-ellipsis-in-js
553,25,https://stackoverflow.com/questions/22445078/how-to-create-a-stripe-charge-with-a-checkout-token-sent-via-ajax-to-php
0,0,https://stackoverflow.com/questions/18774269/websocket-failed-downgrading-to-comet-and-resending
"7391,28242,1756,51128,6585","14,2,1,0,0",https://stackoverflow.com/questions/5310216/passing-php-variable-into-javascript
"11549,1836,2419","9,3,0",https://stackoverflow.com/questions/1698801/passing-php-array-into-javascript-through-json-to-update-google-chart
"482,359","4,1",https://stackoverflow.com/questions/46805745/laravel-how-to-hide-the-interpolation-code-before-vue-js-loads
"108511,10658,6544,3649,14651,115,51","11,5,3,0,0,0,0",https://stackoverflow.com/questions/37570418/reload-captcha-image
"2206,10278","1,0",https://stackoverflow.com/questions/5592773/where-to-put-javascript-and-how-to-handle-events
1125,2,https://stackoverflow.com/questions/33066486/jscroll-js-with-laravel-5-nextselector-not-found-destroying
921,2,https://stackoverflow.com/questions/46746561/adding-the-load-more-button-from-my-front-page-to-my-search-page
"9088,5838,1","10,5,0",https://stackoverflow.com/questions/42101786/dropzone-js-prevents-flask-from-rendering-template
"51,15499,197,1,73,1908","5,1,0,0,0,1",https://stackoverflow.com/questions/42139254/how-to-implement-a-stripe-checkout-custom-button
"5697,124,1","7,0,0",https://stackoverflow.com/questions/10212686/social-icons-not-working-with-infinite-scrolling-on-wordpress
"8470,978802","27,6",https://stackoverflow.com/questions/6649125/calling-java-methods-in-javascript-code
"197178,21","28,1",https://stackoverflow.com/questions/52367826/custom-plus-and-minus-quantity-buttons-in-woocommerce-3
10479,25,https://stackoverflow.com/questions/24450304/load-data-on-scroll-up-like-facebook-chatting-system
874,2,https://stackoverflow.com/questions/39774300/jquery-datatables-asp-net-issue
"696,11622,2679","1,1,1",https://stackoverflow.com/questions/13209386/i-cannot-see-html5-eventsource-event-with-onmessage-method-in-chrome
"1658,265,19,1006","15,2,1,0",https://stackoverflow.com/questions/20111929/asp-net-button-on-click-not-firing-using-jquery-modal-dialog
"3819,258,76,597,4844,161,2500,31,267,21,830,555,49,101","15,7,2,1,1,1,1,1,1,1,0,0,0,0",https://stackoverflow.com/questions/34362470/load-modal-after-form-submit
"197178,441,1102","13,3,2",https://stackoverflow.com/questions/37228791/custom-button-next-to-add-to-cart-button-of-woocommerce-based-on-product-type
"2569,658,1385","10,5,3",https://stackoverflow.com/questions/9303534/is-it-possible-to-use-jquery-inside-of-vaadin-framework
"126035,322272,39748,741","6,3,1,0",https://stackoverflow.com/questions/9813774/youtube-iframe-api-seekto-not-a-method
48575,10,https://stackoverflow.com/questions/7699172/check-uncheck-all-checkboxes-with-javascript-in-a-php-array-with-keys
"12127,9942,7398","6,3,0",https://stackoverflow.com/questions/21835623/jquery-img-src-replace-not-working
"21643,340,172,12366,41,365,919383,6259,1","37,14,4,3,3,1,0,0,0",https://stackoverflow.com/questions/13454985/asp-net-set-hiddenfield-a-value-in-javascript
"603672,1473","36,0",https://stackoverflow.com/questions/4107728/does-https-connection-disabled-jquery
"2090,10437,52593,39345","11,2,0,0",https://stackoverflow.com/questions/531311/how-can-i-generate-dynamic-javascript
"106419,2225,22116","16,4,3",https://stackoverflow.com/questions/37772225/change-the-xlinkhref-of-an-image-in-a-svg-through-a-classic-a-link
"38470,105096,0,117,1,33327","34,6,3,2,0,0",https://stackoverflow.com/questions/835259/show-hide-fields-depending-on-select-value
"689,11758,123","1,1,1",https://stackoverflow.com/questions/39686611/column-sum-of-multiple-columns-of-dynamic-gridview-using-javascript
"1221,21,107,71","15,0,0,3",https://stackoverflow.com/questions/30449098/how-to-customize-default-data-confirm-dialog-box-in-yii2-gridview
"4963,82837","9,4",https://stackoverflow.com/questions/18512184/google-maps-finding-all-the-markers-inside-a-given-radius-javascript-php
"1785,8746","9,6",https://stackoverflow.com/questions/15006048/dynamically-rethrowing-self-defined-c-exceptions-as-python-exceptions-using-sw
36438,14,https://stackoverflow.com/questions/5449067/gwt-2-x-entry-function
"2810,41583","18,12",https://stackoverflow.com/questions/8450481/method-without-return-value-in-python-c-extension-module
2035,1,https://stackoverflow.com/questions/43161227/no-response-when-validationexception-is-thrown-using-plupload-and-symfony3
1533,4,https://stackoverflow.com/questions/29352485/python-print-not-working-when-embedded-into-mpi-program
20232,1,https://stackoverflow.com/questions/39127512/java-uncaughtexceptionhandler-havent-got-any-exception-using-jni
83598,4,https://stackoverflow.com/questions/30308490/jni-wrapper-for-c-function-using-swig-what-should-be-the-typemap
6277,1,https://stackoverflow.com/questions/56787106/does-managed-languages-lock-flush-and-reload-variables-of-native-libraries
"1199,368517,31,1349,78236,213472,377","23,20,3,2,2,0,0",https://stackoverflow.com/questions/24277488/in-python-how-to-capture-the-stdout-from-a-c-shared-library-to-a-variable
"1924,2487,0","12,5,4",https://stackoverflow.com/questions/1711490/returning-a-c-class-to-java-via-jni
"4653,5049,267,1567,55,301","19,14,7,4,1,0",https://stackoverflow.com/questions/24492327/python-embedding-in-c-importerror-no-module-named-pyfunction
"740,31,892","33,2,1",https://stackoverflow.com/questions/41020068/running-python-script-in-laravel
"1373,6387,1850","11,5,0",https://stackoverflow.com/questions/11123899/passing-a-c-sharp-class-object-in-and-out-of-a-c-dll-class
19696,2,https://stackoverflow.com/questions/25530727/c-python-api-second-call-of-pyimport-import-results-in-sigsegv
"1023,2316,1631,1068,31,11","28,8,5,1,1,1",https://stackoverflow.com/questions/16200997/why-doesnt-include-python-h-work
1349,3,https://stackoverflow.com/questions/57990269/passing-pointer-to-c-from-python-using-pybind11
"1778,5602","15,0",https://stackoverflow.com/questions/29595222/multithreading-with-python-and-c-api
"28871,12441","15,7",https://stackoverflow.com/questions/14762048/subprocess-call-in-python-to-invoke-java-jar-files-with-java-opts
"524,54804,14938,2862,53439","8,7,4,2,1",https://stackoverflow.com/questions/1014584/force-java-to-call-my-c-destructor-jni
25449,13,https://stackoverflow.com/questions/31436593/cython-templates-in-python-class-wrappers
"77358,2649,209","2,2,0",https://stackoverflow.com/questions/14482064/how-to-pass-variables-back-from-php-by-ajax
"266836,4164","13,1",https://stackoverflow.com/questions/15801782/how-to-correctly-pass-a-json-object-to-flask-server-using-jquery-ajax
1106,7,https://stackoverflow.com/questions/18115260/gwt-custom-event-trigger-in-javascript
168,4,https://stackoverflow.com/questions/37474832/how-to-train-a-model-in-c-with-tensorflow
"20658,978802,1","17,0,0",https://stackoverflow.com/questions/7276389/confused-over-dll-entry-points-entry-point-not-found-exception
"689,116","11,3",https://stackoverflow.com/questions/43633044/generate-android-apk-using-shell-script-from-php
"396,985,38140,9322,972,95","15,4,3,2,1,0",https://stackoverflow.com/questions/21227506/how-to-call-a-javascript-function-before-and-after-button-click-event-call-in-as
74940,3,https://stackoverflow.com/questions/16908820/what-is-the-init-function-of-a-dynamic-module-in-python
"1482,352","1,0",https://stackoverflow.com/questions/7289897/boost-serialization-and-boost-python-two-way-pickle
30531,73,https://stackoverflow.com/questions/19243020/in-python-get-the-output-of-system-command-as-a-string
"5776,4158","25,9",https://stackoverflow.com/questions/21877127/calling-system-loadlibrary-twice-for-the-same-shared-library
"12548,9754,21677,54891,15138,104270,71","7,1,0,0,0,0,1",https://stackoverflow.com/questions/3476762/java-hangs-even-though-scripts-execution-is-completed
"32492,3413,23510","7,6,2",https://stackoverflow.com/questions/3712125/how-does-boost-python-work
66834,24,https://stackoverflow.com/questions/8358375/how-to-return-int-array-from-java-to-jni
"1,28926","0,0",https://stackoverflow.com/questions/33276487/passing-javascript-array-from-view-to-laravel-controller
27448,2,https://stackoverflow.com/questions/6444131/using-a-python-script-in-java-eclipse
"795321,372477,6144,10547,0","11,5,3,1,1",https://stackoverflow.com/questions/8089351/exec-any-command-in-c
"316515,543","24,6",https://stackoverflow.com/questions/20318158/run-python-script-directly-from-command-line
2890,18,https://stackoverflow.com/questions/38378901/jni-thread-model
"368,66,368","6,5,3",https://stackoverflow.com/questions/30263293/youtube-subscriptions-list-api-v3-nextpagetoken-isnt-available
"6923,2173,11313,770,4114,71,1595,1901","12,8,5,1,0,0,0,0",https://stackoverflow.com/questions/15240472/confirm-box-in-codeigniter-anchor-link-to-delete-record
"104295,22103,3717,1047","10,7,2,1",https://stackoverflow.com/questions/2842079/how-can-i-pass-a-javascript-function-to-a-java-method-to-act-as-a-callback-rhin
25449,9,https://stackoverflow.com/questions/30984078/cython-working-with-c-streams
83598,9,https://stackoverflow.com/questions/18878179/how-to-avoid-memory-leak-with-shared-ptr-and-swig
"9539,681","0,0",https://stackoverflow.com/questions/29699543/how-to-get-swig-to-apply-templates-when-wrapping-a-template-class-containing-vec
"10438,21,148461,703,10086","12,2,2,0,0",https://stackoverflow.com/questions/8884480/starting-and-killing-java-app-with-shell-script-debian
"802,28411","11,0",https://stackoverflow.com/questions/1161142/not-receiving-callbacks-from-the-java-access-bridge
"155156,11","7,1",https://stackoverflow.com/questions/7033953/python-cgi-program-wants-to-know-the-ip-address-of-the-calling-web-page
"133842,428589","11,2",https://stackoverflow.com/questions/29517675/how-to-get-asynchronous-javascript-responses-from-selenium-webdriver
"48252,336150","12,6",https://stackoverflow.com/questions/13322119/how-to-make-script-in-linux-use-my-interpteter-and-work
"12468,4211,131,11","10,5,1,1",https://stackoverflow.com/questions/3397513/how-do-i-access-return-value-of-a-java-method-returning-java-lang-string-from-c
,,https://stackoverflow.com/questions/46750777/passing-a-javascript-array-of-strings-to-a-c-function-with-emscripten
"85,6619,26","7,3,1",https://stackoverflow.com/questions/37206310/how-to-return-the-multiple-lists-from-controller-action-to-ajax-success-call-bac
"836,2037","3,0",https://stackoverflow.com/questions/45387728/calling-a-c-style-function-pointer-in-a-webassembly-from-javascript
"51252,469,167467,361,49,24746,804,311,1762","43,27,6,2,1,0,0,0,1",https://stackoverflow.com/questions/5828803/how-to-call-code-behind-server-method-from-a-client-side-javascript-function
1177,0,https://stackoverflow.com/questions/22062824/how-do-i-map-a-function-call-from-c-to-java-using-javacpp
"1577,11027","101,56",https://stackoverflow.com/questions/2011311/running-java-with-java-opts-env-variable-has-no-effect
49047,15,https://stackoverflow.com/questions/16660049/extracting-arguments-from-kwargs-in-boostpython
,,https://stackoverflow.com/questions/41875585/extending-and-embedding-python-in-c-is-pyimport-addmodule-required-to-import
"2243,23420,344957,7703,281,4269","22,6,4,3,2,0",https://stackoverflow.com/questions/15300470/jquery-ajax-form-using-mail-php-script-sends-email-but-post-data-from-html-fo
"579827,151,915","7,1,1",https://stackoverflow.com/questions/15923595/how-to-use-a-c-dll-in-unity3d
"33576,2801","15,4",https://stackoverflow.com/questions/21581560/php-how-to-know-if-server-allows-shell-exec
1488,43,https://stackoverflow.com/questions/24719592/sending-data-as-json-object-from-python-to-javascript-with-jinja
"64514,8197,4656","10,4,2",https://stackoverflow.com/questions/10256315/python-c-extensions-why-must-callable-c-functions-take-arguments-and-return-py
"720857,3871","23,2",https://stackoverflow.com/questions/3078680/adding-printf-to-the-starting-of-all-functions-in-a-file
"26071,421,1465","9,3,2",https://stackoverflow.com/questions/7322420/calling-javascript-object-method-using-webbrowser-document-invokescript
4834,4,https://stackoverflow.com/questions/20692053/callback-as-parameter-of-c-structure-java-wrapper-generation
25276,3,https://stackoverflow.com/questions/54545813/using-kill-to-trigger-a-parents-waitpid
13420,9,https://stackoverflow.com/questions/35545598/custom-events-in-react-native-android-native-ui-component
"3776,2532","22,2",https://stackoverflow.com/questions/39498702/passing-arguments-to-python-from-shell-script
579827,8,https://stackoverflow.com/questions/5367515/how-to-call-a-c-dll-exported-function-from-c-sharp
"26394,104270,821","7,2,0",https://stackoverflow.com/questions/54636989/java-socket-fails-to-connect-to-0-0-0-0-with-noroutetohostexception-instead-of
"3710,146079","17,4",https://stackoverflow.com/questions/15414753/shared-memory-between-c-and-java-processes
"4924,335","4,1",https://stackoverflow.com/questions/55964908/passing-jwt-token-to-sockjs
"1627,21,1","13,2,0",https://stackoverflow.com/questions/21852459/tomcat-7-0-50-java-websocket-implementation-gives-404-error
151,2,https://stackoverflow.com/questions/12249885/java-android-httpurlconnection-setchunkedstreamingmode-not-working-with-all-php
"2312,290,1","2,0,0",https://stackoverflow.com/questions/23273628/angularjs-calling-java-functions
139,0,https://stackoverflow.com/questions/14571582/cant-call-jnlp-deployed-applet-code-from-javascript
"52803,31731","5,1",https://stackoverflow.com/questions/20732980/how-to-use-socket-with-a-python-client-and-a-c-server
"926583,1657,1772","32,1,0",https://stackoverflow.com/questions/22854749/flask-and-ajax-post-http-400-bad-request-error
"26815,546","7,1",https://stackoverflow.com/questions/42475492/how-to-read-and-echo-file-size-of-uploaded-file-being-written-at-server-in-real
"405,1550,15674","5,0,2",https://stackoverflow.com/questions/18583273/issues-with-cors-flask-angularjs
10435,9,https://stackoverflow.com/questions/48777708/react-frontend-connecting-to-flask-backend-howto
0,26,https://stackoverflow.com/questions/17834243/how-to-read-formdata-object-in-php
358,4,https://stackoverflow.com/questions/49010415/flask-request-get-json-returning-none-when-valid-json-data-sent-via-post-reque
"24253,460,1330","32,5,1",https://stackoverflow.com/questions/19370223/why-is-my-ajax-request-getting-response-0
"9382,6600,174,108,1877,6944","3,1,0,0,0,0",https://stackoverflow.com/questions/42663777/html-vs-jsp-get-request-header-token-value
17853,4,https://stackoverflow.com/questions/31366855/how-to-bind-zeromq-socket-with-ratchet-web-socket-library-to-make-real-time-appl
"328,447,69,189,1305","15,8,2,0,0",https://stackoverflow.com/questions/29626410/krajee-bootstrap-file-input-catching-ajax-success-response
70,1,https://stackoverflow.com/questions/30971295/how-to-do-login-with-ajax-and-json-for-hibrid-mobile-app
"1864,11","13,0",https://stackoverflow.com/questions/28386534/post-request-with-jquery-and-laravel-framework
"174071,25052","3,0",https://stackoverflow.com/questions/6314320/designing-javascript-frontend-c-backend-communication
"64454,3669,2488,2073,410","2,0,0,0,0",https://stackoverflow.com/questions/51585831/get-info-by-javascript-in-laravel
"777,601,978802,5966,2273","11,10,2,0,0",https://stackoverflow.com/questions/8854816/keeping-the-cookie-after-a-cross-domain-ajax-request
"255008,130991,61971,66","12,10,1,1",https://stackoverflow.com/questions/10405515/piping-in-shell-via-python-subprocess-module
25793,3,https://stackoverflow.com/questions/3752231/socket-no-route-to-host-error
"13836,1553","1,0",https://stackoverflow.com/questions/4024275/jetty-preflight-and-ajax
"153,700","1,0",https://stackoverflow.com/questions/31391483/long-polling-with-php-curl
"131,10029","13,1",https://stackoverflow.com/questions/5169434/content-transfer-encoding-in-file-uploading-request
"240,1,600","9,0,0",https://stackoverflow.com/questions/29516515/how-to-get-a-zip-with-ajax-from-php-server
"292307,18642,11,341,1,1205","10,5,1,0,0,1",https://stackoverflow.com/questions/10936407/ajax-type-post-post-method-to-php
"17974,19563","2,0",https://stackoverflow.com/questions/24192138/signalr-longpolling-multiple-groups-add-for-a-single-client-exception
"4239,81","16,2",https://stackoverflow.com/questions/20084549/angularjs-form-post-data-not-posted
39630,27,https://stackoverflow.com/questions/21441786/post-to-php-from-node-js
3573,4,https://stackoverflow.com/questions/22329047/server-side-event-how-to-pass-parameters-to-server-side-script-append-query-s
196,5,https://stackoverflow.com/questions/49509612/postman-access-full-request-body-to-calculate-hash-in-pre-request-script
"144504,462735,510273,25420,866","9,8,2,0,0",https://stackoverflow.com/questions/2853725/whats-the-best-way-to-debug-ajax-to-php-calls
"446,6140","19,2",https://stackoverflow.com/questions/27635738/warning-missing-boundary-in-multipart-form-data-post-data-in-unknown-on-line-0
"4809,2098,9330","4,1,1",https://stackoverflow.com/questions/37506637/how-to-clear-ajax-response
"37497,3591,1819","5,4,0",https://stackoverflow.com/questions/8897642/submitting-from-jquery-to-php
"2788,163","11,7",https://stackoverflow.com/questions/10740479/two-way-c-to-c-sharp-communication-using-named-pipes
"2998,3759,6086,0,3576","23,20,4,1,0",https://stackoverflow.com/questions/30680562/send-form-data-with-jquery-ajax-json
"1396,3223,639,1128","3,3,1,1",https://stackoverflow.com/questions/29533254/integrate-node-js-and-socket-io-with-codeigniter
"144504,1495,17568,33846","13,2,1,0",https://stackoverflow.com/questions/3124636/detect-ajax-calling-url
"78491,31","14,3",https://stackoverflow.com/questions/308054/learning-how-to-use-ajax-with-codeigniter
"9527,14876,3166,1040","5,4,2,1",https://stackoverflow.com/questions/29727436/upload-progress-bar-using-session-in-php-5-4-with-codeigniter
1018539,24,https://stackoverflow.com/questions/11350769/ajax-call-in-jsf-2-0-myfaces-the-onevent-javascript-function-in-the-ajax-tag
"4284,4924,422","8,7,1",https://stackoverflow.com/questions/37690068/laravel-refresh-data-after-ajax
"186,1763,885,649,71,43","8,4,2,0,0,0",https://stackoverflow.com/questions/30011998/asp-net-500-internal-server-error-while-calling-webmethod-from-javascript
"25060,48580,2502,951,27692,87,928,11","2,0,0,0,0,0,0,1",https://stackoverflow.com/questions/3558662/custom-javascript-ajax-for-asp-net
"6156,829,1647,0","7,3,1,1",https://stackoverflow.com/questions/16433794/get-ajax-post-data-on-php-via-javascript-call
10113,8,https://stackoverflow.com/questions/38898776/add-access-control-allow-origin-on-http-listener-in-c-rest-sdk
2161,14,https://stackoverflow.com/questions/7294830/sending-encoding-response-in-json
